City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Verkhnevilyuysk,RU,63.4453,120.3167,37.29,85,100,11.03,overcast clouds
156,Talnakh,RU,69.4865,88.3972,22.96,96,100,7.18,light snow
157,Half Moon Bay,US,37.4636,-122.4286,64.81,78,1,1.01,mist
158,Cairns,AU,-16.9167,145.7667,74.07,92,39,2.3,scattered clouds
159,Kajaani,FI,64.2273,27.7285,28.45,80,0,6.91,clear sky
160,Katsuura,JP,35.1333,140.3,55.51,59,34,9.53,scattered clouds
161,Brigantine,US,39.4101,-74.3646,65.32,72,75,4.61,broken clouds
162,Fortuna,US,40.5982,-124.1573,57.65,85,90,15.99,overcast clouds
163,Raudeberg,NO,61.9875,5.1352,46.2,72,100,8.01,overcast clouds
164,Salumbar,IN,24.1333,74.05,72.66,59,0,1.66,clear sky
165,Bengkulu,ID,-3.8004,102.2655,75.78,90,61,3.71,broken clouds
166,Torbay,CA,47.6666,-52.7314,63.88,93,90,16.11,overcast clouds
167,Westport,US,41.1415,-73.3579,60.24,62,90,1.01,overcast clouds
168,Constitucion,CL,-35.3333,-72.4167,59.86,55,4,18.86,clear sky
169,Khani,GE,41.9563,42.9566,40.57,77,0,3.94,clear sky
170,Kodiak,US,57.79,-152.4072,44.11,76,90,12.66,moderate rain
171,Mar Del Plata,AR,-38.0023,-57.5575,68.02,64,40,7.0,scattered clouds
172,Kohima,IN,25.6667,94.1167,56.62,93,4,3.0,clear sky
173,Winnemucca,US,40.973,-117.7357,48.25,61,75,16.11,broken clouds
174,Severo-Yeniseyskiy,RU,60.3725,93.0408,30.9,90,100,15.39,light snow
175,Sengiley,RU,53.9622,48.7944,44.67,55,100,11.92,overcast clouds
176,Olbia,IT,40.9214,9.4856,66.25,94,40,3.44,scattered clouds
177,Nanortalik,GL,60.1432,-45.2371,36.43,74,24,6.26,few clouds
178,Katangli,RU,51.7102,143.2326,32.63,92,18,12.5,few clouds
179,San Cristobal,VE,7.7669,-72.225,80.78,58,83,5.12,broken clouds
180,Agadez,NE,19.75,10.25,86.02,14,2,8.77,clear sky
181,Saint-Philippe,RE,-21.3585,55.7679,75.47,81,81,12.44,broken clouds
182,Mount Gambier,AU,-37.8333,140.7667,46.31,93,75,5.75,broken clouds
183,San Lawrenz,MT,36.0553,14.204,72.81,91,100,4.0,overcast clouds
184,Turbat,PK,26.0023,63.044,77.29,7,0,6.96,clear sky
185,Akyab,MM,20.15,92.9,76.89,82,98,5.14,overcast clouds
186,Lorengau,PG,-2.0226,147.2712,80.29,82,89,9.04,overcast clouds
187,Miranda De Ebro,ES,42.6865,-2.947,57.34,43,0,0.78,clear sky
188,Makushino,RU,55.2103,67.2442,48.18,75,30,16.75,scattered clouds
189,Paka,MY,4.6374,103.4368,75.13,94,43,0.0,scattered clouds
190,Lebedinyy,RU,58.5167,125.5167,27.75,83,98,9.17,overcast clouds
191,Fairbanks,US,64.8378,-147.7164,26.6,90,1,0.0,clear sky
192,Winslow,US,35.0242,-110.6974,63.97,30,1,3.0,clear sky
193,Dingle,PH,10.9995,122.6711,74.35,95,100,5.84,light rain
194,Giyon,ET,8.5333,37.9833,55.62,54,75,7.96,broken clouds
195,Ilulissat,GL,69.2167,-51.1,19.42,79,90,21.85,light snow
196,Sainte-Marie,RE,-20.8968,55.5496,75.36,84,0,9.22,clear sky
197,Souillac,MU,-20.5167,57.5167,75.58,78,40,10.36,scattered clouds
198,Sao Felipe,BR,-14.8167,-41.3833,83.01,57,100,4.88,overcast clouds
199,Vao,NC,-22.6667,167.4833,71.33,79,95,16.24,overcast clouds
200,Marquette,US,46.5333,-87.6335,47.64,67,66,7.92,broken clouds
201,Hervey Bay,AU,-25.2986,152.8535,76.03,87,25,16.53,moderate rain
202,Carnarvon,AU,-24.8667,113.6333,69.87,73,0,13.8,clear sky
203,Noumea,NC,-22.2763,166.4572,67.98,83,76,10.07,broken clouds
204,Bud,US,39.447,-86.1758,59.13,72,68,4.36,broken clouds
205,Camalu,MX,30.85,-116.0667,68.41,63,23,11.21,few clouds
206,Kalispell,US,48.1958,-114.3129,51.3,70,40,8.01,scattered clouds
207,Ossora,RU,59.2353,163.0719,22.39,91,97,5.75,overcast clouds
208,Jiazi,CN,22.8779,116.067,66.74,76,90,9.24,overcast clouds
209,Silleda,ES,42.696,-8.2465,57.65,77,100,2.06,overcast clouds
210,Quatre Cocos,MU,-20.2078,57.7625,75.31,80,14,10.51,few clouds
211,Grand Gaube,MU,-20.0064,57.6608,75.6,74,3,4.0,clear sky
212,Northam,GB,51.0333,-4.2167,55.38,75,99,17.27,overcast clouds
213,Abha,SA,18.2164,42.5053,66.02,59,0,2.3,clear sky
214,Ulaangom,MN,49.9811,92.0667,33.39,64,27,2.57,scattered clouds
215,Ketchikan,US,55.3422,-131.6461,45.07,87,90,3.44,moderate rain
216,Longyearbyen,SJ,78.2186,15.6401,19.24,79,40,4.61,scattered clouds
217,Kavieng,PG,-2.5744,150.7967,82.09,76,72,14.41,broken clouds
218,Burnie,AU,-41.0667,145.9167,50.94,70,96,11.86,overcast clouds
219,Deputatskiy,RU,69.3,139.9,-5.71,99,91,2.57,overcast clouds
220,Korla,CN,41.7597,86.1469,54.0,38,100,4.32,overcast clouds
221,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.98,68,77,12.12,broken clouds
222,Hakui,JP,36.8833,136.7833,48.16,68,80,3.89,broken clouds
223,Pittsburgh,US,40.4406,-79.9959,52.41,86,90,1.01,overcast clouds
224,El Real De Santa Maria,PA,8.109,-77.7325,83.39,87,71,1.05,broken clouds
225,Ati,TD,13.2154,18.3353,94.55,20,12,7.72,few clouds
226,Sitka,US,57.0531,-135.33,48.09,66,75,9.22,light rain
