City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
320,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
323,Mayumba,GA,77.31,broken clouds,-3.432,10.6554,LIKWALE LODGE
326,Fomboni,KM,79.41,clear sky,-12.28,43.7425,Auberge les abou
330,Xai-Xai,MZ,82.9,clear sky,-25.0519,33.6442,Complexo da Familia
333,Sampit,ID,74.39,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
339,Ballina,AU,71.78,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
340,Havelock,US,75.97,few clouds,34.8791,-76.9013,Sherwood Motel
341,Namibe,AO,67.41,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
343,Show Low,US,66.88,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
347,Zeerust,ZA,76.01,clear sky,-25.5369,26.0751,Kareespruit Game Ranch and Guest House
352,Harur,IN,73.76,broken clouds,12.0667,78.5,Sraswathi Lodge
354,Sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
355,Mizdah,LY,80.37,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
360,Mananara,MG,75.61,scattered clouds,-16.1667,49.7667,Chez Roger
362,Balkanabat,TM,61.45,clear sky,39.5108,54.3671,Nebitchi Hotel
363,Kalabo,ZM,83.03,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
364,Sarangani,PH,82.09,overcast clouds,5.4033,125.4636,Ballistic Islet
372,San Vicente,AR,62.15,heavy intensity rain,-26.6167,-54.1333,Complejo Turístico Farelluk
373,Baleshwar,IN,72.91,scattered clouds,21.4942,86.9317,Banjara Hotels Pvt Ltd
374,Tual,ID,83.64,broken clouds,-5.6667,132.75,Grand Vilia Hotel
375,Camopi,GF,82.02,overcast clouds,3.1655,-52.3158,La pousada
376,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
377,Lufilufi,WS,76.78,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
378,Kabanjahe,ID,61.56,moderate rain,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
386,Shenjiamen,CN,64.92,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
387,Sur,OM,81.81,clear sky,22.5667,59.5289,Sur Plaza Hotel
391,Lagoa,PT,66.69,clear sky,39.05,-27.9833,Casa Das Faias
394,Marsh Harbour,BS,77.83,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
398,Afonso Claudio,BR,77.41,broken clouds,-20.0742,-41.1239,Pousada Afonso Cláudio
402,Chibombo,ZM,83.68,overcast clouds,-14.6569,28.0706,Chibombo District Council Guest House
407,Inhambane,MZ,75.18,few clouds,-23.865,35.3833,Oceano
410,Wanning,CN,70.75,overcast clouds,18.8003,110.3967,Paradise Hotel
412,General Roca,AR,75.61,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
414,Flinders,AU,64.2,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
415,Longido,TZ,77.49,overcast clouds,-2.7333,36.6833,Longido Mountain Lodge
416,Luganville,VU,77.34,broken clouds,-15.5333,167.1667,The Espiritu Hotel
420,Hirado,JP,61.74,scattered clouds,33.3597,129.5531,Samson Hotel
421,Matara,LK,78.4,few clouds,5.9485,80.5353,Amaloh Boutique Resort
429,Mana,GF,83.03,moderate rain,5.6592,-53.7767,LE SAMANA
430,Villeta,CO,83.01,scattered clouds,5.0089,-74.4723,Hotel Villeta Suite
432,Kavaratti,IN,81.79,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
438,Solwezi,ZM,73.47,broken clouds,-12.1688,26.3894,Country Lodge Solwezi
439,Tucuman,AR,80.6,dust,-26.8241,-65.2226,Dallas Hotel Tucuman
440,Itacare,BR,82.29,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
441,Isabela,PH,78.42,overcast clouds,6.7085,121.9711,Isawad Resort
443,Najran,SA,74.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
444,Chimoio,MZ,82.26,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
445,Prado,BR,78.53,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
447,Ocampo,MX,72.28,overcast clouds,21.65,-101.5,Casa de ratas
